epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
98,1614.82,0.34151,0.41674,0.11981,0.00116,0.11045,0.99643,0.9986,0.99483,0.9645,0.99643,0.9986,0.99483,0.94297,0.28212,0.39474,0.09331,0.00177,0,0.0007196,0.0007196,0.0007196
99,1631.38,0.32672,0.39505,0.11537,0.00117,0.10119,0.99562,0.99762,0.99447,0.96687,0.99562,0.99762,0.99447,0.93996,0.27835,0.39491,0.09379,0.00172,0,0.0007064,0.0007064,0.0007064
100,1647.66,0.33521,0.40333,0.12249,0.00112,0.10074,0.99628,1,0.99453,0.95832,0.99628,1,0.99453,0.93621,0.30027,0.3963,0.09531,0.00186,0,0.0006932,0.0006932,0.0006932
101,1663.89,0.34195,0.39932,0.12067,0.00114,0.09888,0.99732,0.99881,0.99486,0.96516,0.99732,0.99881,0.99486,0.94372,0.27634,0.39356,0.09108,0.00172,0,0.00068,0.00068,0.00068
102,1680.34,0.33202,0.40251,0.12181,0.00115,0.11099,0.99762,0.99831,0.99439,0.96596,0.99762,0.99831,0.99439,0.942,0.28016,0.39661,0.09104,0.00176,0,0.0006668,0.0006668,0.0006668
103,1696.58,0.33383,0.40215,0.11891,0.00113,0.11884,0.99881,0.99749,0.99481,0.96182,0.99881,0.99749,0.99481,0.94128,0.29047,0.39903,0.0957,0.00178,0,0.0006536,0.0006536,0.0006536
104,1712.84,0.34732,0.40765,0.12589,0.00119,0.10041,0.99518,1,0.99429,0.95902,0.99518,1,0.99429,0.93716,0.29142,0.39575,0.09502,0.00178,0,0.0006404,0.0006404,0.0006404
105,1729.37,0.33443,0.41781,0.12069,0.00115,0.10241,0.99855,0.99881,0.99449,0.95949,0.99855,0.99881,0.99449,0.93432,0.29154,0.40434,0.09397,0.00178,0,0.0006272,0.0006272,0.0006272
106,1745.67,0.32129,0.39622,0.11177,0.00113,0.10039,0.99876,0.99881,0.995,0.96512,0.99876,0.99881,0.995,0.93261,0.28065,0.3987,0.08868,0.00174,0,0.000614,0.000614,0.000614
107,1761.83,0.32992,0.39345,0.11942,0.00118,0.10071,0.99619,0.99881,0.99468,0.96558,0.99619,0.99881,0.99468,0.94004,0.28041,0.39554,0.09299,0.00177,0,0.0006008,0.0006008,0.0006008
