epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,1024.31,0.37208,0.38563,0.14761,0.00123,0.1099,0.9976,0.99195,0.99496,0.95832,0.9976,0.99195,0.99496,0.89958,0.29582,0.36848,0.10385,0.00175,0,0.0006932,0.0006932,0.0006932
68,1039.43,0.38341,0.3921,0.14873,0.00128,0.10741,0.98595,0.99642,0.99478,0.94873,0.98595,0.99642,0.99478,0.91428,0.31629,0.36572,0.11702,0.00192,0,0.0006734,0.0006734,0.0006734
69,1054.55,0.39468,0.38241,0.14925,0.00129,0.11293,0.99403,0.99164,0.99479,0.95796,0.99403,0.99164,0.99479,0.90644,0.30251,0.36663,0.11016,0.00177,0,0.0006536,0.0006536,0.0006536
70,1069.69,0.3728,0.37766,0.14459,0.00129,0.10346,0.99359,0.99404,0.9943,0.9538,0.99359,0.99404,0.9943,0.90772,0.30877,0.36401,0.10959,0.00188,0,0.0006338,0.0006338,0.0006338
71,1085.14,0.38361,0.37196,0.13947,0.00124,0.10665,0.99671,0.99046,0.99437,0.94624,0.99671,0.99046,0.99437,0.91003,0.32395,0.36236,0.11281,0.00199,0,0.000614,0.000614,0.000614
72,1100.15,0.38185,0.3812,0.14272,0.0013,0.10959,0.99286,0.99496,0.99446,0.94619,0.99286,0.99496,0.99446,0.91532,0.32653,0.36461,0.11112,0.00197,0,0.0005942,0.0005942,0.0005942
73,1115.73,0.37362,0.36276,0.1432,0.00127,0.10438,0.99402,0.99132,0.99417,0.95627,0.99402,0.99132,0.99417,0.90959,0.29504,0.36357,0.1078,0.00176,0,0.0005744,0.0005744,0.0005744
74,1131.23,0.37344,0.37544,0.14083,0.00128,0.106,0.99404,0.99333,0.99458,0.96539,0.99404,0.99333,0.99458,0.90973,0.28156,0.36384,0.10377,0.00166,0,0.0005546,0.0005546,0.0005546
75,1146.69,0.37114,0.39023,0.14646,0.0012,0.10544,0.99501,0.99404,0.9947,0.95928,0.99501,0.99404,0.9947,0.90898,0.29288,0.36375,0.10502,0.00172,0,0.0005348,0.0005348,0.0005348
76,1161.81,0.37802,0.3913,0.13782,0.00126,0.11219,0.99288,0.99727,0.99466,0.95974,0.99288,0.99727,0.99466,0.90836,0.28922,0.36571,0.10218,0.00175,0,0.000515,0.000515,0.000515
77,1176.99,0.37264,0.36452,0.14193,0.00126,0.10494,0.99762,0.99723,0.99451,0.96467,0.99762,0.99723,0.99451,0.90933,0.28232,0.36151,0.09743,0.00168,0,0.0004952,0.0004952,0.0004952
78,1192.15,0.37549,0.37212,0.13928,0.00127,0.10535,0.99445,0.99404,0.99428,0.96227,0.99445,0.99404,0.99428,0.91025,0.2823,0.36303,0.10216,0.00168,0,0.0004754,0.0004754,0.0004754
79,1207.33,0.36632,0.37145,0.13333,0.00123,0.10451,0.99589,0.99166,0.99432,0.95912,0.99589,0.99166,0.99432,0.90166,0.29281,0.3621,0.10485,0.00175,0,0.0004556,0.0004556,0.0004556
80,1222.23,0.38239,0.38315,0.14738,0.00126,0.10981,0.99672,0.99404,0.99426,0.96142,0.99672,0.99404,0.99426,0.90861,0.28167,0.35993,0.0999,0.00169,0,0.0004358,0.0004358,0.0004358
81,1237.57,0.35468,0.38219,0.13502,0.00118,0.10111,0.99609,0.99642,0.99427,0.95067,0.99609,0.99642,0.99427,0.90738,0.31986,0.36061,0.10518,0.00193,0,0.000416,0.000416,0.000416
82,1252.69,0.3578,0.37635,0.13218,0.0012,0.10668,0.99523,0.99402,0.99425,0.96119,0.99523,0.99402,0.99425,0.91116,0.28471,0.36072,0.10049,0.00168,0,0.0003962,0.0003962,0.0003962
