epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,3825.8,0.34859,0.39662,0.125,0.00118,0.11157,0.99641,0.99145,0.99469,0.9567,0.99641,0.99145,0.99469,0.92714,0.29528,0.38726,0.10245,0.00177,0,0.0008648,0.0008648,0.0008648
88,3868.87,0.34666,0.39838,0.12271,0.00123,0.11054,0.99523,0.99458,0.99449,0.95742,0.99523,0.99458,0.99449,0.92936,0.29454,0.39233,0.10129,0.00174,0,0.0008516,0.0008516,0.0008516
89,3910.62,0.33364,0.38319,0.11998,0.00115,0.09833,0.9982,0.99642,0.99462,0.96291,0.9982,0.99642,0.99462,0.93671,0.28891,0.38495,0.09581,0.00175,0,0.0008384,0.0008384,0.0008384
90,3958.12,0.34141,0.39085,0.11755,0.00119,0.10097,0.99815,0.99404,0.99477,0.96572,0.99815,0.99404,0.99477,0.92862,0.28557,0.39147,0.09769,0.00168,0,0.0008252,0.0008252,0.0008252
91,4001.08,0.34281,0.39804,0.11725,0.00117,0.10191,0.99712,0.99642,0.99457,0.9639,0.99712,0.99642,0.99457,0.92812,0.28438,0.39157,0.09516,0.00171,0,0.000812,0.000812,0.000812
92,4045.38,0.34423,0.3886,0.11689,0.00113,0.10641,0.99171,0.99815,0.99457,0.96585,0.99171,0.99815,0.99457,0.93042,0.28663,0.38777,0.09794,0.00173,0,0.0007988,0.0007988,0.0007988
93,4095.57,0.33844,0.38222,0.11516,0.00119,0.1002,0.99405,0.99518,0.99468,0.96384,0.99405,0.99518,0.99468,0.93181,0.27984,0.38726,0.09566,0.00167,0,0.0007856,0.0007856,0.0007856
94,4139.87,0.34166,0.39798,0.11833,0.00118,0.10132,0.99761,0.99342,0.99466,0.96435,0.99761,0.99342,0.99466,0.92959,0.27817,0.38519,0.09606,0.00165,0,0.0007724,0.0007724,0.0007724
95,4183.41,0.34431,0.40838,0.12581,0.00116,0.09879,0.99226,0.99285,0.99452,0.96541,0.99226,0.99285,0.99452,0.93009,0.28045,0.38938,0.10372,0.00166,0,0.0007592,0.0007592,0.0007592
96,4224.11,0.33938,0.3889,0.11574,0.00115,0.10411,0.9917,0.9973,0.99472,0.96414,0.9917,0.9973,0.99472,0.93007,0.28087,0.38384,0.10061,0.00168,0,0.000746,0.000746,0.000746
97,4265.74,0.33716,0.40002,0.11572,0.00113,0.10023,0.9935,0.99046,0.9945,0.9622,0.9935,0.99046,0.9945,0.93297,0.28343,0.385,0.1037,0.00168,0,0.0007328,0.0007328,0.0007328
98,4307.44,0.34314,0.40309,0.11981,0.00118,0.10662,0.98936,0.99773,0.99464,0.96286,0.98936,0.99773,0.99464,0.92959,0.28767,0.38679,0.10101,0.00173,0,0.0007196,0.0007196,0.0007196
99,4349.39,0.33134,0.38105,0.11171,0.00116,0.10255,0.99524,0.99715,0.9944,0.96544,0.99524,0.99715,0.9944,0.93608,0.28007,0.38412,0.09542,0.00167,0,0.0007064,0.0007064,0.0007064
100,4395.93,0.34002,0.39412,0.11351,0.00114,0.10167,0.99368,1,0.99431,0.96381,0.99368,1,0.99431,0.93033,0.28727,0.3897,0.09519,0.0017,0,0.0006932,0.0006932,0.0006932
101,4438.48,0.34308,0.39239,0.11737,0.00116,0.09926,0.99308,0.99762,0.99472,0.9689,0.99308,0.99762,0.99472,0.93485,0.27483,0.39011,0.09679,0.00164,0,0.00068,0.00068,0.00068
102,4483.91,0.32983,0.39236,0.11417,0.00114,0.10823,0.99406,0.99743,0.99457,0.9592,0.99406,0.99743,0.99457,0.92714,0.28138,0.3886,0.09751,0.00165,0,0.0006668,0.0006668,0.0006668
103,4526.94,0.33648,0.37714,0.1198,0.00114,0.10662,0.99436,0.99523,0.99498,0.96936,0.99436,0.99523,0.99498,0.93414,0.27411,0.38816,0.09309,0.00163,0,0.0006536,0.0006536,0.0006536
104,4569.55,0.3439,0.39543,0.12057,0.00118,0.10178,0.99285,0.99881,0.99498,0.96239,0.99285,0.99881,0.99498,0.93385,0.28153,0.38461,0.09435,0.00168,0,0.0006404,0.0006404,0.0006404
105,4612.27,0.33767,0.3995,0.11935,0.00116,0.10413,0.98901,0.99881,0.99383,0.96289,0.98901,0.99881,0.99383,0.93014,0.28089,0.39196,0.09797,0.00166,0,0.0006272,0.0006272,0.0006272
106,4656.69,0.32703,0.38147,0.10846,0.00115,0.09695,0.98999,0.99404,0.99413,0.96225,0.98999,0.99404,0.99413,0.92858,0.27622,0.39207,0.10159,0.00164,0,0.000614,0.000614,0.000614
107,4699.44,0.33751,0.39026,0.11557,0.00121,0.10215,0.99753,0.99881,0.99466,0.96382,0.99753,0.99881,0.99466,0.93137,0.286,0.38516,0.09299,0.00172,0,0.0006008,0.0006008,0.0006008
108,4740.29,0.32361,0.3809,0.11001,0.00112,0.09714,0.99739,0.99762,0.99471,0.96497,0.99739,0.99762,0.99471,0.93337,0.27655,0.3829,0.09148,0.00164,0,0.0005876,0.0005876,0.0005876
109,4786.45,0.32324,0.37758,0.11342,0.00113,0.0968,0.98937,0.99836,0.99467,0.96952,0.98937,0.99836,0.99467,0.93426,0.26666,0.38157,0.09447,0.00158,0,0.0005744,0.0005744,0.0005744
110,4830.07,0.3143,0.37836,0.10765,0.0011,0.10438,0.99315,0.99166,0.99466,0.9671,0.99315,0.99166,0.99466,0.93035,0.27594,0.38315,0.09699,0.00165,0,0.0005612,0.0005612,0.0005612
111,4872.84,0.32829,0.37847,0.11251,0.0011,0.09811,0.99289,0.99925,0.99484,0.96654,0.99289,0.99925,0.99484,0.92969,0.27597,0.38611,0.09224,0.00164,0,0.000548,0.000548,0.000548
