epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,2704.86,0.39372,0.39586,0.14544,0.00137,0.11276,0.99641,0.99762,0.99457,0.95143,0.99641,0.99762,0.99457,0.90819,0.31539,0.38183,0.10248,0.00188,0,0.0011387,0.0011387,0.0011387
89,2739.1,0.39409,0.38716,0.13969,0.00133,0.11203,0.98589,0.99939,0.99461,0.95211,0.98589,0.99939,0.99461,0.91112,0.31233,0.37235,0.11044,0.00185,0,0.0011288,0.0011288,0.0011288
90,2770.73,0.39387,0.39509,0.13748,0.00136,0.1087,0.99167,0.99371,0.9942,0.95868,0.99167,0.99371,0.9942,0.91516,0.29577,0.37576,0.10736,0.00176,0,0.0011189,0.0011189,0.0011189
91,2804.68,0.39575,0.39588,0.13772,0.00134,0.10777,0.99456,0.99404,0.99441,0.95074,0.99456,0.99404,0.99441,0.90121,0.32032,0.38556,0.10543,0.0019,0,0.001109,0.001109,0.001109
92,2837.08,0.39756,0.37685,0.14087,0.0013,0.10513,0.99406,0.99707,0.99446,0.94498,0.99406,0.99707,0.99446,0.9156,0.33619,0.38394,0.10893,0.00199,0,0.0010991,0.0010991,0.0010991
93,2871.55,0.39455,0.37826,0.13331,0.00134,0.10323,0.99098,0.99881,0.99417,0.95825,0.99098,0.99881,0.99417,0.90726,0.2957,0.37378,0.10245,0.00178,0,0.0010892,0.0010892,0.0010892
94,2904.25,0.37736,0.38088,0.13572,0.00128,0.10313,0.99406,0.99881,0.99419,0.96245,0.99406,0.99881,0.99419,0.90629,0.29781,nan,nan,0.00177,0,0.0010793,0.0010793,0.0010793
95,2937.17,0.39273,0.39556,0.13939,0.00131,0.10045,0.99404,0.99425,0.99462,0.95383,0.99404,0.99425,0.99462,0.90626,0.30032,0.38345,0.10715,0.0018,0,0.0010694,0.0010694,0.0010694
96,2970.67,0.38637,0.4017,0.12988,0.00128,0.11157,0.99406,0.99709,0.99466,0.95167,0.99406,0.99709,0.99466,0.91094,0.31275,0.37408,0.10645,0.00187,0,0.0010595,0.0010595,0.0010595
97,3001.72,0.38945,0.38857,0.13226,0.00127,0.10158,0.99642,0.99427,0.99473,0.95685,0.99642,0.99427,0.99473,0.90249,0.29806,0.38836,0.1001,0.00181,0,0.0010496,0.0010496,0.0010496
98,3033.93,0.39104,0.38378,0.13533,0.00133,0.11032,0.99525,0.99854,0.99463,0.95007,0.99525,0.99854,0.99463,0.90829,0.30742,nan,nan,0.00185,0,0.0010397,0.0010397,0.0010397
99,3067.73,0.37914,0.38073,0.1295,0.00131,0.10378,0.99599,0.99285,0.99468,0.95847,0.99599,0.99285,0.99468,0.90735,0.29924,nan,nan,0.00176,0,0.0010298,0.0010298,0.0010298
100,3098.04,0.37508,0.37852,0.12898,0.00124,0.10214,0.99375,0.99762,0.99471,0.95926,0.99375,0.99762,0.99471,0.90946,0.29862,0.37541,0.09897,0.00175,0,0.0010199,0.0010199,0.0010199
101,3132.61,0.37532,0.38384,0.1296,0.00125,0.10051,0.98589,0.9996,0.99462,0.95779,0.98589,0.9996,0.99462,0.91044,0.30281,0.37085,0.10514,0.00181,0,0.00101,0.00101,0.00101
102,3165.01,0.38143,0.38095,0.12942,0.00131,0.11004,0.99363,0.99881,0.99471,0.9637,0.99363,0.99881,0.99471,0.91014,0.28403,0.37491,0.09456,0.00171,0,0.0010001,0.0010001,0.0010001
103,3198.27,0.37606,0.37574,0.12828,0.00125,0.11274,0.99508,0.99762,0.9947,0.9569,0.99508,0.99762,0.9947,0.91385,0.29948,0.37044,0.10044,0.00179,0,0.0009902,0.0009902,0.0009902
104,3230.85,0.38261,0.3801,0.13137,0.00129,0.10662,0.99681,0.99404,0.9947,0.95948,0.99681,0.99404,0.9947,0.90611,0.29517,0.37228,0.09922,0.00179,0,0.0009803,0.0009803,0.0009803
105,3263.01,0.37896,0.39629,0.1311,0.00128,0.10902,0.99292,0.99642,0.99464,0.95409,0.99292,0.99642,0.99464,0.90336,0.31005,0.38624,0.10475,0.00183,0,0.0009704,0.0009704,0.0009704
106,3296.1,0.37643,0.38691,0.12522,0.0013,0.10332,0.9974,0.99642,0.99457,0.9557,0.9974,0.99642,0.99457,0.9047,0.30662,0.38616,0.09853,0.00181,0,0.0009605,0.0009605,0.0009605
107,3331.67,0.38284,0.37387,0.12647,0.00135,0.10522,0.99644,0.99994,0.99456,0.95931,0.99644,0.99994,0.99456,0.91035,0.30036,0.37256,0.09486,0.00179,0,0.0009506,0.0009506,0.0009506
108,3365.29,0.37219,0.37302,0.12495,0.00128,0.10307,0.99524,0.99727,0.99467,0.96314,0.99524,0.99727,0.99467,0.91184,0.29697,0.37101,0.09914,0.00181,0,0.0009407,0.0009407,0.0009407
109,3399.47,0.36949,0.36295,0.12501,0.00128,0.10992,0.99312,0.99523,0.99473,0.95039,0.99312,0.99523,0.99473,0.90372,0.32034,0.38218,0.10702,0.00189,0,0.0009308,0.0009308,0.0009308
110,3432.33,0.36064,0.37461,0.12114,0.00124,0.11555,0.99741,0.99642,0.99487,0.95095,0.99741,0.99642,0.99487,0.90516,0.31716,0.37133,0.10171,0.00185,0,0.0009209,0.0009209,0.0009209
111,3465.61,0.37848,0.3769,0.13393,0.00125,0.10443,0.99481,0.99881,0.99476,0.96014,0.99481,0.99881,0.99476,0.91473,0.29086,0.368,0.09598,0.00173,0,0.000911,0.000911,0.000911
112,3497.29,0.37018,0.36494,0.12848,0.00126,0.10798,0.99731,0.99404,0.9948,0.96093,0.99731,0.99404,0.9948,0.9072,0.29015,0.37458,0.09883,0.00173,0,0.0009011,0.0009011,0.0009011
113,3528.43,0.36125,0.37762,0.12416,0.00126,0.1046,0.99288,0.9973,0.99463,0.9638,0.99288,0.9973,0.99463,0.9086,0.2873,0.3785,0.09856,0.00173,0,0.0008912,0.0008912,0.0008912
114,3561.14,0.3557,0.37124,0.1185,0.0012,0.09946,0.99406,0.99749,0.9946,0.96285,0.99406,0.99749,0.9946,0.90972,0.28857,0.37294,0.09705,0.00172,0,0.0008813,0.0008813,0.0008813
